rowno,close,high,low,open,time,volumefrom,volumeto
560,0.00001963,0.00003250,0.00001773,0.00001995,2018-02-04 03:00:00,415183.73000000,8.66000000
561,0.00002313,0.00002901,0.00001951,0.00001963,2018-02-05 03:00:00,371346.71000000,7.84000000
562,0.00002281,0.00002901,0.00002029,0.00002313,2018-02-06 03:00:00,331601.23000000,7.42000000
563,0.00002951,0.00003300,0.00002275,0.00002281,2018-02-07 03:00:00,346128.57000000,8.77000000
564,0.00002421,0.00003198,0.00002001,0.00002951,2018-02-08 03:00:00,947046.20000000,24.18000000
565,0.00002541,0.00002876,0.00002360,0.00002421,2018-02-09 03:00:00,449432.72000000,11.45000000
566,0.00002524,0.00002780,0.00002454,0.00002541,2018-02-10 03:00:00,457379.99000000,11.72000000
567,0.00002491,0.00002592,0.00002354,0.00002524,2018-02-11 03:00:00,328861.04000000,8.04000000
568,0.00002410,0.00002519,0.00002250,0.00002491,2018-02-12 03:00:00,345182.96000000,8.32000000
569,0.00002395,0.00002504,0.00001957,0.00002410,2018-02-13 03:00:00,347987.09000000,8.21000000
570,0.00002435,0.00002517,0.00002322,0.00002395,2018-02-14 03:00:00,294086.11000000,7.16000000
571,0.00002412,0.00002463,0.00002333,0.00002435,2018-02-15 03:00:00,293224.86000000,7.09000000
572,0.00002428,0.00002446,0.00002380,0.00002412,2018-02-16 03:00:00,255555.37000000,6.20000000
573,0.00002400,0.00002490,0.00001989,0.00002428,2018-02-17 03:00:00,237059.63000000,5.54000000
574,0.00002233,0.00002408,0.00002126,0.00002400,2018-02-18 03:00:00,290668.16000000,6.63000000
575,0.00002348,0.00002499,0.00002160,0.00002233,2018-02-19 03:00:00,295433.07000000,6.80000000
576,0.00002301,0.00002377,0.00002157,0.00002348,2018-02-20 03:00:00,273961.68000000,6.30000000
577,0.00002146,0.00002306,0.00001901,0.00002301,2018-02-21 03:00:00,321063.41000000,6.98000000
578,0.00001887,0.00002159,0.00001864,0.00002146,2018-02-22 03:00:00,264406.72000000,5.28000000
579,0.00001884,0.00001988,0.00001862,0.00001887,2018-02-23 03:00:00,294767.73000000,5.56000000
580,0.00001885,0.00001904,0.00001864,0.00001884,2018-02-24 03:00:00,104269.29000000,1.96000000
581,0.00002208,0.00002321,0.00001864,0.00001885,2018-02-25 03:00:00,68691.93000000,1.37000000
582,0.00002101,0.00002401,0.00001999,0.00002208,2018-02-26 03:00:00,293307.89000000,6.34000000
583,0.00002590,0.00002709,0.00002101,0.00002101,2018-02-27 03:00:00,199875.82000000,5.14000000
584,0.00002799,0.00002857,0.00002517,0.00002605,2018-02-28 03:00:00,287474.63000000,7.77000000
585,0.00003786,0.00004499,0.00002713,0.00002799,2018-03-01 03:00:00,288209.88000000,9.09000000
586,0.00003754,0.00004775,0.00003450,0.00003786,2018-03-02 03:00:00,353804.39000000,13.29000000
587,0.00003605,0.00004319,0.00003472,0.00003754,2018-03-03 03:00:00,278630.80000000,10.39000000
588,0.00003470,0.00004500,0.00003469,0.00003605,2018-03-04 03:00:00,293827.54000000,10.69000000
589,0.00003521,0.00003900,0.00002420,0.00003470,2018-03-05 03:00:00,262566.52000000,8.89000000
590,0.00003276,0.00003711,0.00003265,0.00003521,2018-03-06 03:00:00,337729.96000000,11.32000000
591,0.00003290,0.00003318,0.00003265,0.00003276,2018-03-07 03:00:00,287250.86000000,9.45000000
592,0.00002845,0.00003500,0.00002696,0.00003290,2018-03-08 03:00:00,322368.66000000,10.07000000
593,0.00002707,0.00003443,0.00002687,0.00002845,2018-03-09 03:00:00,311297.89000000,9.54000000
594,0.00002904,0.00003180,0.00002707,0.00002707,2018-03-10 03:00:00,342400.38000000,9.90000000
595,0.00002760,0.00003016,0.00002688,0.00002904,2018-03-11 03:00:00,273995.55000000,7.79000000
596,0.00002476,0.00002813,0.00002421,0.00002760,2018-03-12 03:00:00,331654.72000000,8.79000000
597,0.00002568,0.00002615,0.00002452,0.00002476,2018-03-13 03:00:00,335799.49000000,8.38000000
598,0.00002544,0.00002804,0.00002541,0.00002568,2018-03-14 03:00:00,302444.78000000,7.95000000
599,0.00003007,0.00003168,0.00002459,0.00002544,2018-03-15 03:00:00,198665.24000000,5.20000000
600,0.00002857,0.00003074,0.00002789,0.00003007,2018-03-16 03:00:00,226956.58000000,6.66000000
