"","V1"
"241",0.911539377826252
"242",0.920555786946704
"243",0.915702187553432
"244",0.918759559167436
"245",0.907706542939248
"246",0.920448485519029
"247",0.909405759269957
"248",0.895486283484983
"249",0.884494229571581
"250",0.921234980881646
"251",0.908196653952989
"252",0.906001363343406
"253",0.873037200882215
"254",0.872079966730781
"255",0.85937943301243
"256",0.868216268546141
"257",0.868236085584802
"258",0.879137413456113
"259",0.876556039389946
"260",0.876037331516821
"261",0.878232721007462
"262",0.886034367776538
"263",0.892327573174114
"264",0.890814554689687
"265",0.884766800406403
"266",0.875471814314587
"267",0.884558843856171
"268",0.90130655521603
"269",0.895630711809363
"270",0.887706883634464
"271",0.884775782519783
"272",0.852594313567086
"273",0.855309177675519
"274",0.846716061382057
"275",0.842524180920129
"276",0.860417139537595
"277",0.863044348199905
"278",0.905101355432
"279",0.884047659938986
"280",0.906610681608754
"281",0.930633854958607
"282",0.92624155547976
"283",0.91783786031591
"284",0.956171192045537
"285",0.997211320256915
"286",0.990337710107188
"287",0.968247203408688
"288",0.957637928441296
"289",0.937010061329077
"290",0.918200494541428
"291",0.928834120834446
"292",0.94140777107751
"293",0.932642876781835
"294",0.953071721221395
"295",0.953633917081058
"296",0.955211989615428
"297",0.966521209706673
"298",0.952500959480356
"299",0.968321016961254
"300",0.950157648877185
"301",0.933877922592812
"302",0.946108125059046
"303",0.934926764186095
"304",0.942394998176165
"305",0.931265638024559
"306",0.926240659879204
"307",0.923985706611827
"308",0.915465930118216
"309",0.903256470031977
"310",0.90509307442664
"311",0.875368803556234
"312",0.895050821363047
"313",0.895062305566221
"314",0.917233361466078
"315",0.915088099286662
"316",0.917727860204466
"317",0.914888834126932
"318",0.896080567241052
"319",0.913229488956651
"320",0.900108275267329
"321",0.887293060821984
"322",0.883742300649289
"323",0.88282912477647
"324",0.900567802413881
"325",0.918204909239494
"326",0.90900375362491
"327",0.914174298838304
"328",0.907568712916655
"329",0.908257630640171
"330",0.875006389696229
"331",0.871352784145008
"332",0.879237594083595
"333",0.878025840728904
"334",0.858142820487569
"335",0.846920360289278
"336",0.853689711641145
"337",0.86442491657469
"338",0.880117038822365
"339",0.861097287396934
"340",0.855515746552825
"341",0.851205914904382
"342",0.865010321632293
"343",0.85301030574079
"344",0.860692577922887
"345",0.845531604919333
"346",0.862171185904443
"347",0.855633577469693
"348",0.874202743116603
"349",0.862085950895434
"350",0.876289001426279
"351",0.858926893655632
"352",0.86693608723867
"353",0.862254249974848
"354",0.871918637662248
"355",0.859284484506118
"356",0.873938523126381
"357",0.888086390216483
"358",0.880411961301992
"359",0.895647671197307
"360",0.913887716315919
"361",0.915713415503097
"362",0.905629086814313
"363",0.925819149504486
"364",0.935467560636656
"365",0.900653442412843
"366",0.901918802777632
"367",0.906980420366368
"368",0.911222332486505
"369",0.89168294900041
"370",0.902553238087922
"371",0.912968498322852
"372",0.911664087537588
"373",0.923260689759587
"374",0.935059820796871
"375",0.937896689694751
"376",0.931273204543325
"377",0.937146548790728
"378",0.942372815640995
"379",0.950963682120047
"380",0.950430331330791
"381",0.951119207260454
"382",0.946107076426652
"383",0.956300735352651
"384",0.956935856164117
"385",0.958661551324296
"386",0.958485827973283
"387",0.965038097075321
"388",0.956228702901802
"389",0.957324609248065
"390",0.966935391704615
"391",0.985005368332245
"392",0.99856887966721
"393",1.00517095708986
