dt,value.V1
2009-06-29,0.826366974147194
2009-06-30,0.826799309150555
2009-07-01,0.836745699364737
2009-07-02,0.807272836836928
2009-07-06,0.779085409725531
2009-07-07,0.764950515324133
2009-07-08,0.761572081157763
2009-07-09,0.763363637133105
2009-07-10,0.759436128096238
2009-07-13,0.782402017952823
2009-07-14,0.787515507113548
2009-07-15,0.82343029850112
2009-07-16,0.826881043019812
2009-07-17,0.822485650608397
2009-07-20,0.83545841972739
2009-07-21,0.83651441913293
2009-07-22,0.838105167219536
2009-07-23,0.856900761912949
2009-07-24,0.875241806579887
2009-07-27,0.872851233696785
2009-07-28,0.868227098083446
2009-07-29,0.869749107961501
2009-07-30,0.883286012944809
2009-07-31,0.88581299550755
2009-08-03,0.900420197932697
2009-08-04,0.908015476011649
